accountId,date_acquired,cust_age,avg_order_rev,min_order_rev,max_order_rev,tot_order_cnt,churned
12005,2013-05-18,1174,885.94,633.75,1382.8,3,1
12022,2013-05-19,1173,323.324167,133,558.56,12,0
12029,2013-05-19,1173,216.195,184.45,247.94,2,1
12034,2013-05-19,1173,396.546,220,651.35,5,0
12037,2013-05-20,1172,458.22,250.04,666.4,2,1
12038,2013-05-19,1173,245.38,198,292.76,2,1
12044,2013-05-19,1173,651.255,632.61,669.9,2,1
12051,2013-05-19,1173,290.54,274.68,306.4,2,1
12060,2013-05-19,1173,399.375,243.3,555.45,2,1
12073,2013-05-22,1170,339,339,339,3,1
12078,2013-05-20,1172,238.5,181.5,295.5,2,1
12092,2013-05-20,1172,896.131667,15,2750.5,6,1
12099,2013-05-20,1172,226.875,200,253.75,2,1
12102,2013-05-20,1172,743.165,591.5,814,4,0
12105,2013-05-20,1172,1011.133333,263.4,1790,3,1
12106,2013-05-20,1172,728.85,407.7,1050,2,1
12110,2013-05-22,1170,545.356667,250.64,1129,7,0
12121,2013-05-20,1172,2702.96,205.92,5200,2,1
12133,2013-05-20,1172,392.73,170.19,640,3,1
12138,2013-05-20,1172,704.4,30,1295.78,3,1
12139,2013-05-20,1172,204.565,189.15,219.98,2,1
12140,2013-05-20,1172,485.45,373.8,625.6,4,1
12143,2013-05-20,1172,453.66,407.82,499.5,2,1
12144,2013-05-20,1172,1434.87,849.74,2020,2,0
12145,2013-05-20,1172,1632.23,1142.5,2537.5,3,0
